crime_head,cases_pending_prev,cases_reported,cases_reopened,total_for_inv,not_investigated,transferred,withdrawn,fr_non_cognizable,fr_false,fr_mistake,fr_insufficient,fr_abated,fr_total,cs_from_prev,cs_from_year,cs_total,total_disposed,quashed,stayed,cases_pending_end,chargesheeting_rate,pendency_pct,crime_head_norm,year,category,fr_rate,fr_false_rate,fr_insufficient_rate,pendency_load,reopened_rate,transferred_rate,cs_carryover_rate,cs_rate_yoy,log_cases_reported,log_total_for_inv,severity_ordinal,cat_Miscellaneous IPC Crimes,cat_Offences Affecting the Human Body,cat_Offences Relating to Documents & Property Marks,cat_Offences against Property,cat_Offences against Public Tranquillity,cat_Offences against the State,year_feature
Insult to the Modesty of Women,5185,7788,0,12973,0,1,0,10,361,170,434,12,987,2443,4337,6780,7768.0,0,6,5205,87.3,40.1,insult to the modesty of women,2021,Miscellaneous IPC Crimes,0.12705973223480949,0.04647270854788878,0.055870236869207,0.39967625067447776,0.0,7.708317274339012e-05,0.3603244837758112,-0.5,8.960467760919949,9.470702633773001,1,True,False,False,False,False,False,3
Kidnapping and Abduction - Total,63967,105734,89,169790,5,85,36,267,14506,27522,20184,698,63177,12120,26788,38908,102175.0,78,75,67501,38.1,39.8,kidnapping and abduction,2018,Offences Affecting the Human Body,0.6183215072180083,0.1419721066797162,0.1975434303890384,0.37674185758878614,0.0008417349197041633,0.0005006184109782672,0.3115040608615195,,11.568691242876085,12.042323547921079,5,False,True,False,False,False,False,0
Kidnapping and Abduction,27727,54848,52,82627,5,57,33,93,7437,17162,10124,368,35184,4367,10919,15286,50532.0,34,25,32028,30.3,38.8,kidnapping and abduction,2018,Offences Affecting the Human Body,0.6962716694371883,0.1471740679173593,0.20034829415024144,0.335568276713423,0.0009480746791131855,0.0006898471443958997,0.2856862488551616,-7.800000000000001,10.912339233996615,11.322103885118143,5,False,True,False,False,False,False,0
Kidnapping and Abduction,68122,105037,86,173245,3,86,1,215,17602,26523,18616,893,63849,12264,25710,37974,101912.0,66,53,71266,37.3,41.1,kidnapping and abduction,2019,Offences Affecting the Human Body,0.6265111076222624,0.1727176387471544,0.18266739932490778,0.3932119253080897,0.000818759103934804,0.0004964068227077261,0.3229578132406383,6.9999999999999964,11.562077468429832,12.062467828762529,5,False,True,False,False,False,False,1
Kidnapping and Abduction,32549,56591,62,89202,3,60,1,165,9929,18057,9386,578,38115,4219,10940,15159,53337.0,22,10,35842,28.4,40.2,kidnapping and abduction,2019,Offences Affecting the Human Body,0.7146071207604477,0.18615595177831523,0.17597540169113374,0.36489092172821236,0.001095580569348483,0.0006726306585054147,0.2783165116432482,-8.899999999999999,10.943622911445262,11.398669950289543,5,False,True,False,False,False,False,1
Kidnapping and Abduction,71523,84805,30,156358,1,49,14,348,12790,26323,14001,367,53829,11035,21046,32081,85960.0,75,40,70309,37.3,45.0,kidnapping and abduction,2020,Offences Affecting the Human Body,0.6262098650535133,0.14879013494648674,0.1628780828292229,0.45743102367643484,0.0003537527268439361,0.00031338338940124587,0.34397306817119166,8.899999999999999,11.348121573993978,11.959909924388871,5,False,True,False,False,False,False,2
Kidnapping and Abduction,35736,45027,7,80770,0,34,11,205,7110,19088,7057,235,33695,4387,8726,13113,46842.0,54,6,33863,28.0,41.9,kidnapping and abduction,2020,Offences Affecting the Human Body,0.7193330771529823,0.1517868579479954,0.1506553947312241,0.44244150055713755,0.00015546227818864238,0.0004209483719202674,0.3345534965301609,-9.299999999999997,10.715039797474695,11.299373269194168,5,False,True,False,False,False,False,2
Kidnapping and Abduction,70558,101707,37,172302,19,54,0,331,17050,26694,20963,405,65443,12349,25792,38141,103657.0,79,64,68566,36.8,39.8,kidnapping and abduction,2021,Offences Affecting the Human Body,0.6313418293024108,0.1644847911863164,0.20223429194362175,0.40950192104560595,0.00036379010294276695,0.00031340321064178014,0.323772318502399,8.799999999999997,11.52986124167643,12.057009833856027,5,False,True,False,False,False,False,3
Kidnapping and Abduction,33946,56302,15,90263,11,33,0,186,10085,17701,10651,279,38902,4795,11734,16529,55475.0,23,11,34765,29.8,38.5,kidnapping and abduction,2021,Offences Affecting the Human Body,0.7012528165840469,0.18179360072104553,0.19199639477242,0.37607879197456323,0.00026642037583034353,0.00036559830716905047,0.29009619456712443,-6.9999999999999964,10.938503098676163,11.410493988818281,5,False,True,False,False,False,False,3
Kidnapping and Abduction for the Purpose of Begging,49,71,0,120,0,0,0,14,13,6,3,0,36,9,48,57,93.0,0,0,27,61.3,22.5,kidnapping and abduction for the purpose of begging,2018,Offences Affecting the Human Body,0.3870967741935484,0.13978494623655913,0.03225806451612903,0.4083333333333333,0.0,0.0,0.15789473684210525,,4.276666119016055,4.795790545596741,5,False,True,False,False,False,False,0
